,"Poster_Link","Series_Title","Runtime_of_Series","Certificate","Runtime_of_Episodes","Genre","IMDB_Rating","Overview","Star1","Star2","Star3","Star4","No_of_Votes","Genre1","Genre2","Genre3"	
1,"https://m.media-amazon.com/images/M/MV5BYTRiNDQwYzAtMzVlZS00NTI5LWJjYjUtMzkwNTUzMWMxZTllXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_UY98_CR2,0,67,98_AL_.jpg","Game of Thrones","(2011â€“2019)","A","57 min","Action, Adventure, Drama",9.3,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","Emilia Clarke","Peter Dinklage","Kit Harington","Lena Headey",1773458,"Action"," Adventure"," Drama"	
2,"https://m.media-amazon.com/images/M/MV5BMjhiMzgxZTctNDc1Ni00OTIxLTlhMTYtZTA3ZWFkODRkNmE2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg","Breaking Bad","(2008â€“2013)","18","49 min","Crime, Drama, Thriller",9.5,"A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.","Bryan Cranston","Aaron Paul","Anna Gunn","Betsy Brandt",1468887,"Crime"," Drama"," Thriller"	
3,"https://m.media-amazon.com/images/M/MV5BMTc5ZmM0OTQtNDY4MS00ZjMyLTgwYzgtOGY0Y2VlMWFmNDU0XkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_UX67_CR0,0,67,98_AL_.jpg","The Walking Dead","(2010â€“ )","18+","44 min","Drama, Horror, Thriller",8.2,"Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.","Andrew Lincoln","Norman Reedus","Melissa McBride","Danai Gurira",854698,"Drama"," Horror"," Thriller"	
4,"https://m.media-amazon.com/images/M/MV5BMjEzMDAxOTUyMV5BMl5BanBnXkFtZTgwNzAxMzYzOTE@._V1_UX67_CR0,0,67,98_AL_.jpg","Stranger Things","(2016â€“ )","15","51 min","Drama, Fantasy, Horror",8.7,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","Millie Bobby Brown","Finn Wolfhard","Winona Ryder","David Harbour",824966,"Drama"," Fantasy"," Horror"	
5,"https://m.media-amazon.com/images/M/MV5BMWY3NTljMjEtYzRiMi00NWM2LTkzNjItZTVmZjE0MTdjMjJhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTQ4NTc5OTU@._V1_UX67_CR0,0,67,98_AL_.jpg","Sherlock","(2010â€“2017)","UA","88 min","Crime, Drama, Mystery",9.1,"A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.","Benedict Cumberbatch","Martin Freeman","Una Stubbs","Rupert Graves",808717,"Crime"," Drama"," Mystery"	
6,"https://m.media-amazon.com/images/M/MV5BMTM5MjkwMTI0MV5BMl5BanBnXkFtZTcwODQwMTc0OQ@@._V1_UY98_CR2,0,67,98_AL_.jpg","Dexter","(2006â€“2021)","A","53 min","Crime, Drama, Mystery",8.6,"By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.","Michael C. Hall","Jennifer Carpenter","David Zayas","James Remar",647136,"Crime"," Drama"," Mystery"	
7,"https://m.media-amazon.com/images/M/MV5BMTUwMGM2ZmYtZGEyZC00OWQyLWI2Y2QtMTdjYzMxZGJmNjhjXkEyXkFqcGdeQXVyNjU2ODM5MjU@._V1_UX67_CR0,0,67,98_AL_.jpg","True Detective","(2014â€“ )","A","55 min","Crime, Drama, Mystery",9,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.","Vince Vaughn","Colin Farrell","Rachel McAdams","Taylor Kitsch",500194,"Crime"," Drama"," Mystery"	
8,"https://m.media-amazon.com/images/M/MV5BNzhlY2E5NDUtYjJjYy00ODg3LWFkZWQtYTVmMzU4ZWZmOWJkXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX67_CR0,0,67,98_AL_.jpg","Lost","(2004â€“2010)","A","44 min","Adventure, Drama, Fantasy",8.3,"The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.","Jorge Garcia","Josh Holloway","Yunjin Kim","Evangeline Lilly",496290,"Adventure"," Drama"," Fantasy"	
9,"https://m.media-amazon.com/images/M/MV5BMTg3NTkwNzAxOF5BMl5BanBnXkFtZTcwMjM1NjI5MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","Prison Break","(2005â€“2017)","UA","44 min","Action, Crime, Drama",8.3,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside.","Dominic Purcell","Wentworth Miller","Amaury Nolasco","Robert Knepper",477157,"Action"," Crime"," Drama"	
10,"https://m.media-amazon.com/images/M/MV5BYTM3YWVhMDMtNjczMy00NGEyLWJhZDctYjNhMTRkNDE0ZTI1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","Black Mirror","(2011â€“ )","A","60 min","Drama, Sci-Fi, Thriller",8.8,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","Daniel Lapaine","Hannah John-Kamen","Michaela Coel","Beatrice Robertson-Jones",445745,"Drama"," Sci-Fi"," Thriller"	
